# SPDX-FileCopyrightText: 2026 Anton Lem <antonlem78@gmail.com>
# SPDX-License-Identifier: Apache-2.0
# JMH version: 1.37
# VM version: JDK 21.0.8, OpenJDK 64-Bit Server VM, 21.0.8+9-LTS
# VM invoker: C:\Program Files\Microsoft\jdk-21.0.8.9-hotspot\bin\java.exe
# VM options: -Xms1g -Xmx1g -XX:+UseG1GC -Dfile.encoding=UTF-8 -Duser.language=en -Duser.country=US -Duser.timezone=UTC -Dprinter.lab.corpus=W:\JHarmonizer\core\printer-lab\target\measurement-0f6aa72d\candidate-run\corpus
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 1 s each
# Measurement: 5 iterations, 2 s each
# Timeout: 10 min per iteration
# Threads: 8 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: io.github.lemon_ant.jharmonizer.printerlab.PrinterBenchmark.serialize
# Parameters: (workload = fixtures)

# Run progress: 0.00% complete, ETA 00:03:00
# Fork: 1 of 3
Picked up JAVA_TOOL_OPTIONS: -Dfile.encoding=UTF-8
# Warmup Iteration   1: 2105.450 ops/s
# Warmup Iteration   2: 3862.074 ops/s
# Warmup Iteration   3: 10109.771 ops/s
# Warmup Iteration   4: 14147.031 ops/s
# Warmup Iteration   5: 12438.592 ops/s
Iteration   1: 9080.850 ops/s
                 gc.alloc.rate:                                 1531.262 MB/sec
                 gc.alloc.rate.norm:                            178170.236 B/op
                 gc.count:                                      6.000 counts
                 gc.time:                                       26.000 ms
                 mempool.CodeHeap 'non-nmethods'.used:          1587.250 KiB
                 mempool.CodeHeap 'non-profiled nmethods'.used: 3795.500 KiB
                 mempool.CodeHeap 'profiled nmethods'.used:     12148.125 KiB
                 mempool.Compressed Class Space.used:           5172.656 KiB
                 mempool.G1 Eden Space.used:                    627712.000 KiB
                 mempool.G1 Old Gen.used:                       20858.375 KiB
                 mempool.G1 Survivor Space.used:                5025.063 KiB
                 mempool.Metaspace.used:                        37716.938 KiB
                 mempool.total.codeheap.used:                   17530.875 KiB
                 mempool.total.used:                            714015.906 KiB

Iteration   2: 11957.522 ops/s
                 gc.alloc.rate:                                 1987.703 MB/sec
                 gc.alloc.rate.norm:                            178178.595 B/op
                 gc.count:                                      7.000 counts
                 gc.time:                                       19.000 ms
                 mempool.CodeHeap 'non-nmethods'.used:          1586.875 KiB
                 mempool.CodeHeap 'non-profiled nmethods'.used: 3802.375 KiB
                 mempool.CodeHeap 'profiled nmethods'.used:     12200.875 KiB
                 mempool.Compressed Class Space.used:           5173.719 KiB
                 mempool.G1 Eden Space.used:                    627712.000 KiB
                 mempool.G1 Old Gen.used:                       20880.031 KiB
                 mempool.G1 Survivor Space.used:                44.172 KiB
                 mempool.Metaspace.used:                        37738.438 KiB
                 mempool.total.codeheap.used:                   17590.125 KiB
                 mempool.total.used:                            709138.484 KiB

Iteration   3: 12544.077 ops/s
                 gc.alloc.rate:                                 2116.522 MB/sec
                 gc.alloc.rate.norm:                            178169.407 B/op
                 gc.count:                                      7.000 counts
                 gc.time:                                       14.000 ms
                 mempool.CodeHeap 'non-nmethods'.used:          1588.625 KiB
                 mempool.CodeHeap 'non-profiled nmethods'.used: 3818.125 KiB
                 mempool.CodeHeap 'profiled nmethods'.used:     12216.625 KiB
                 mempool.Compressed Class Space.used:           5173.719 KiB
                 mempool.G1 Eden Space.used:                    627712.000 KiB
                 mempool.G1 Old Gen.used:                       20888.094 KiB
                 mempool.G1 Survivor Space.used:                40.203 KiB
                 mempool.Metaspace.used:                        37741.875 KiB
                 mempool.total.codeheap.used:                   17623.375 KiB
                 mempool.total.used:                            709179.266 KiB

Iteration   4: 12660.734 ops/s
                 gc.alloc.rate:                                 2146.753 MB/sec
                 gc.alloc.rate.norm:                            178169.391 B/op
                 gc.count:                                      8.000 counts
                 gc.time:                                       19.000 ms
                 mempool.CodeHeap 'non-nmethods'.used:          1586.625 KiB
                 mempool.CodeHeap 'non-profiled nmethods'.used: 3821.500 KiB
                 mempool.CodeHeap 'profiled nmethods'.used:     12249.000 KiB
                 mempool.Compressed Class Space.used:           5173.719 KiB
                 mempool.G1 Eden Space.used:                    627712.000 KiB
                 mempool.G1 Old Gen.used:                       20905.609 KiB
                 mempool.G1 Survivor Space.used:                38.227 KiB
                 mempool.Metaspace.used:                        37749.844 KiB
                 mempool.total.codeheap.used:                   17657.125 KiB
                 mempool.total.used:                            709236.523 KiB

Iteration   5: 13122.636 ops/s
                 gc.alloc.rate:                                 2176.876 MB/sec
                 gc.alloc.rate.norm:                            179189.159 B/op
                 gc.count:                                      7.000 counts
                 gc.time:                                       16.000 ms
                 mempool.CodeHeap 'non-nmethods'.used:          1588.000 KiB
                 mempool.CodeHeap 'non-profiled nmethods'.used: 3827.500 KiB
                 mempool.CodeHeap 'profiled nmethods'.used:     12344.375 KiB
                 mempool.Compressed Class Space.used:           5174.227 KiB
                 mempool.G1 Eden Space.used:                    627712.000 KiB
                 mempool.G1 Old Gen.used:                       20915.688 KiB
                 mempool.G1 Survivor Space.used:                47.039 KiB
                 mempool.Metaspace.used:                        37756.016 KiB
                 mempool.total.codeheap.used:                   17759.875 KiB
                 mempool.total.used:                            709364.844 KiB


# Run progress: 8.33% complete, ETA 00:05:18
# Fork: 2 of 3
Picked up JAVA_TOOL_OPTIONS: -Dfile.encoding=UTF-8
# Warmup Iteration   1: 2164.615 ops/s
# Warmup Iteration   2: 3505.241 ops/s
# Warmup Iteration   3: 9105.576 ops/s
# Warmup Iteration   4: 10521.813 ops/s
# Warmup Iteration   5: 11406.346 ops/s
Iteration   1: 12319.310 ops/s
                 gc.alloc.rate:                                 2085.661 MB/sec
                 gc.alloc.rate.norm:                            178169.610 B/op
                 gc.count:                                      7.000 counts
                 gc.time:                                       41.000 ms
                 mempool.CodeHeap 'non-nmethods'.used:          1589.500 KiB
                 mempool.CodeHeap 'non-profiled nmethods'.used: 3888.250 KiB
                 mempool.CodeHeap 'profiled nmethods'.used:     12200.875 KiB
                 mempool.Compressed Class Space.used:           5230.094 KiB
                 mempool.G1 Eden Space.used:                    627712.000 KiB
                 mempool.G1 Old Gen.used:                       21335.156 KiB
                 mempool.G1 Survivor Space.used:                11264.000 KiB
                 mempool.Metaspace.used:                        38048.344 KiB
                 mempool.total.codeheap.used:                   17678.625 KiB
                 mempool.total.used:                            721268.219 KiB

Iteration   2: 12447.314 ops/s
                 gc.alloc.rate:                                 2106.065 MB/sec
                 gc.alloc.rate.norm:                            178180.429 B/op
                 gc.count:                                      7.000 counts
                 gc.time:                                       17.000 ms
                 mempool.CodeHeap 'non-nmethods'.used:          1589.750 KiB
                 mempool.CodeHeap 'non-profiled nmethods'.used: 3896.125 KiB
                 mempool.CodeHeap 'profiled nmethods'.used:     12243.250 KiB
                 mempool.Compressed Class Space.used:           5231.156 KiB
                 mempool.G1 Eden Space.used:                    627712.000 KiB
                 mempool.G1 Old Gen.used:                       21356.813 KiB
                 mempool.G1 Survivor Space.used:                51.352 KiB
                 mempool.Metaspace.used:                        38064.047 KiB
                 mempool.total.codeheap.used:                   17729.125 KiB
                 mempool.total.used:                            710144.492 KiB

Iteration   3: 11473.191 ops/s
                 gc.alloc.rate:                                 1949.607 MB/sec
                 gc.alloc.rate.norm:                            178169.527 B/op
                 gc.count:                                      7.000 counts
                 gc.time:                                       14.000 ms
                 mempool.CodeHeap 'non-nmethods'.used:          1591.125 KiB
                 mempool.CodeHeap 'non-profiled nmethods'.used: 3905.625 KiB
                 mempool.CodeHeap 'profiled nmethods'.used:     12247.125 KiB
                 mempool.Compressed Class Space.used:           5231.156 KiB
                 mempool.G1 Eden Space.used:                    627712.000 KiB
                 mempool.G1 Old Gen.used:                       21364.875 KiB
                 mempool.G1 Survivor Space.used:                37.109 KiB
                 mempool.Metaspace.used:                        38064.563 KiB
                 mempool.total.codeheap.used:                   17743.875 KiB
                 mempool.total.used:                            710153.578 KiB

Iteration   4: 10590.228 ops/s
                 gc.alloc.rate:                                 1785.518 MB/sec
                 gc.alloc.rate.norm:                            178169.676 B/op
                 gc.count:                                      6.000 counts
                 gc.time:                                       14.000 ms
                 mempool.CodeHeap 'non-nmethods'.used:          1589.750 KiB
                 mempool.CodeHeap 'non-profiled nmethods'.used: 3912.625 KiB
                 mempool.CodeHeap 'profiled nmethods'.used:     12262.250 KiB
                 mempool.Compressed Class Space.used:           5231.156 KiB
                 mempool.G1 Eden Space.used:                    627712.000 KiB
                 mempool.G1 Old Gen.used:                       21380.375 KiB
